player_name,episode,map_code,celda_250,tic,pos_x,pos_y,pos_z,angulo,momentum_x,momentum_y,momentum_z,fov,salud,armadura,municion
Juan,1,E1M2,"(-5,-5)",39801,-1061,-1185,-183,65.38,0,6,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39820,-1663,905,-183,50.04,4,2,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39836,-1061,-1185,-183,70.14,0,7,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39855,-1724,868,-183,37.36,4,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39871,-1061,-1185,-183,68.45,0,5,0,90,200,200,400
Juan,1,E1M2,"(-8,3)",39890,-1782,845,-183,36.25,3,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39906,-1061,-1185,-183,68.56,0,6,0,90,200,200,400
Juan,1,E1M2,"(-8,3)",39925,-1787,837,-183,31.33,3,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39941,-1061,-1185,-183,72.91,0,4,0,90,200,200,400
Juan,1,E1M2,"(-8,3)",39960,-1807,796,-183,28.15,4,1,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39976,-1017,-1240,-183,72.41,2,4,0,90,200,200,400
Juan,1,E1M2,"(-8,3)",39995,-1838,782,-183,28.81,3,2,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40011,-1017,-1240,-183,82.85,0,3,0,90,200,200,400
Juan,1,E1M2,"(-8,3)",40030,-1828,788,-183,31.66,3,4,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40046,-1017,-1240,-183,84.58,0,4,0,90,200,200,400
Juan,1,E1M2,"(-4,2)",40065,-976,715,-200,35.67,4,2,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40081,-1017,-1240,-183,87.72,0,6,0,90,200,200,400
Juan,1,E1M2,"(-4,-6)",40116,-995,-1267,-183,92.52,-1,6,0,90,200,200,400
Juan,1,E1M2,"(-4,2)",40135,-1000,699,-200,78.09,-1,1,0,90,192,200,150
Juan,1,E1M2,"(-4,-6)",40151,-995,-1267,-183,94.69,0,7,0,90,200,200,400
Juan,1,E1M2,"(-4,-6)",40186,-995,-1267,-183,90.67,0,6,0,90,200,200,400
Juan,1,E1M2,"(-4,2)",40191,-992,711,-200,50.75,1,-1,0,90,192,200,150
Juan,1,E1M2,"(-4,-6)",40221,-974,-1252,-183,156.94,-5,0,0,90,200,200,400
Juan,1,E1M2,"(-5,2)",40226,-1080,690,-200,25.95,2,0,0,90,192,200,150
